"Story","Title","Result","Date","Stability","Duration (s)"
"Contact Page","Navigates to Contact Page and validate error messages for mandatory fields","SUCCESS","2023-01-03T05:51:19.682956907Z[Etc/UTC]","0.0","10.36"
"Contact Page","Navigates to Contact Page and validate successful submission","SUCCESS","2023-01-03T05:51:30.182592329Z[Etc/UTC]","0.0","47.69"
"Contact Page","Navigates to Contact Page and validate successful submission","SUCCESS","2023-01-03T05:51:30.182592329Z[Etc/UTC]","0.0","47.69"
"Contact Page","Navigates to Contact Page and validate successful submission","SUCCESS","2023-01-03T05:51:30.182592329Z[Etc/UTC]","0.0","47.69"
