"Story","Title","Result","Date","Stability","Duration (s)"
"Contact Page","Navigates to Contact Page and validate error messages for mandatory fields","SUCCESS","2022-12-29T16:05:28.568688266Z[Etc/UTC]","0.0","10.19"
"Contact Page","Navigates to Contact Page and validate successful submission","SUCCESS","2022-12-29T16:05:38.884380757Z[Etc/UTC]","0.0","21.15"
