"Story","Title","Result","Date","Stability","Duration (s)"
"Jupiter Toys Navigation Links","Navigate to a page and validate Current Url","SUCCESS","2022-12-29T08:03:55.285480541Z[Etc/UTC]","0.0","2.83"
"Jupiter Toys Navigation Links","Navigate to a page and validate Current Url","SUCCESS","2022-12-29T08:03:55.285480541Z[Etc/UTC]","0.0","2.83"
"Jupiter Toys Navigation Links","Navigate to a page and validate Current Url","SUCCESS","2022-12-29T08:03:55.285480541Z[Etc/UTC]","0.0","2.83"
"Jupiter Toys Navigation Links","Navigate to a page and validate Current Url","SUCCESS","2022-12-29T08:03:55.285480541Z[Etc/UTC]","0.0","2.83"
