"Story","Title","Result","Date","Stability","Duration (s)"
"Contact Page","Navigates to Contact Page and validate successful submission","SUCCESS","2023-01-03T05:51:30.182592329Z[Etc/UTC]","0.0","47.69"
"Contact Page","Navigates to Contact Page and validate successful submission","SUCCESS","2023-01-03T05:51:30.182592329Z[Etc/UTC]","0.0","47.69"
"Jupiter Toys Navigation Links","Navigate to a page and validate Current Url","SUCCESS","2023-01-03T05:52:17.887636825Z[Etc/UTC]","0.0","4.54"
"Jupiter Toys Navigation Links","Navigate to a page and validate Current Url","SUCCESS","2023-01-03T05:52:17.887636825Z[Etc/UTC]","0.0","4.54"
