"Story","Title","Result","Date","Stability","Duration (s)"
"Jupiter Toys Cart Page","Buys Products and validate prices, subtotal, total in Cart Page","SUCCESS","2022-12-30T06:31:55.344570071Z[Etc/UTC]","0.0","15.91"
"Contact Page","Navigates to Contact Page and validate error messages for mandatory fields","SUCCESS","2022-12-30T06:32:11.44840469Z[Etc/UTC]","0.0","10.19"
"Contact Page","Navigates to Contact Page and validate successful submission","SUCCESS","2022-12-30T06:32:21.767940777Z[Etc/UTC]","0.0","29.27"
"Jupiter Toys Navigation Links","Navigate to a page and validate Current Url","SUCCESS","2022-12-30T06:32:51.048264598Z[Etc/UTC]","0.0","2.99"
