"Story","Title","Result","Date","Stability","Duration (s)"
"Jupiter Toys Navigation Links","Navigate to a page and validate Current Url","SUCCESS","2022-12-30T06:32:51.048264598Z[Etc/UTC]","0.0","2.99"
"Jupiter Toys Navigation Links","Navigate to a page and validate Current Url","SUCCESS","2022-12-30T06:32:51.048264598Z[Etc/UTC]","0.0","2.99"
"Jupiter Toys Navigation Links","Navigate to a page and validate Current Url","SUCCESS","2022-12-30T06:32:51.048264598Z[Etc/UTC]","0.0","2.99"
"Jupiter Toys Navigation Links","Navigate to a page and validate Current Url","SUCCESS","2022-12-30T06:32:51.048264598Z[Etc/UTC]","0.0","2.99"
