"Story","Title","Result","Date","Stability","Duration (s)"
"Jupiter Toys Cart Page","Buys Products and validate prices, subtotal, total in Cart Page","SUCCESS","2022-12-30T06:22:12.020017174Z[Etc/UTC]","0.0","18.02"
"Contact Page","Navigates to Contact Page and validate error messages for mandatory fields","SUCCESS","2022-12-30T06:22:30.238533758Z[Etc/UTC]","0.0","11.19"
"Contact Page","Navigates to Contact Page and validate successful submission","SUCCESS","2022-12-30T06:22:41.567318378Z[Etc/UTC]","0.0","25.14"
"Jupiter Toys Navigation Links","Navigate to a page and validate Current Url","SUCCESS","2022-12-30T06:23:06.716054686Z[Etc/UTC]","0.0","4.38"
