"Story","Title","Result","Date","Stability","Duration (s)"
"Jupiter Toys Cart Page","Buys Products and validate prices, subtotal, total in Cart Page","SUCCESS","2022-12-30T05:36:02.678593308Z[Etc/UTC]","0.0","11.95"
"Contact Page","Navigates to Contact Page and validate error messages for mandatory fields","SUCCESS","2022-12-30T05:36:14.802839254Z[Etc/UTC]","0.0","11.13"
"Contact Page","Navigates to Contact Page and validate successful submission","SUCCESS","2022-12-30T05:36:26.059503648Z[Etc/UTC]","0.0","23.72"
"Jupiter Toys Navigation Links","Navigate to a page and validate Current Url","SUCCESS","2022-12-30T05:36:49.799815834Z[Etc/UTC]","0.0","3.47"
