"Story","Title","Result","Date","Stability","Duration (s)"
"Jupiter Toys Cart Page","Buys Products and validate prices, subtotal, total in Cart Page","SUCCESS","2023-01-03T05:57:45.996057837Z[Etc/UTC]","0.0","16.8"
"Contact Page","Navigates to Contact Page and validate successful submission","SUCCESS","2023-01-03T05:58:12.694592078Z[Etc/UTC]","0.0","54.18"
"Contact Page","Navigates to Contact Page and validate successful submission","SUCCESS","2023-01-03T05:58:12.694592078Z[Etc/UTC]","0.0","54.18"
"Contact Page","Navigates to Contact Page and validate successful submission","SUCCESS","2023-01-03T05:58:12.694592078Z[Etc/UTC]","0.0","54.18"
