"Story","Title","Result","Date","Stability","Duration (s)"
"Jupiter Toys Navigation Links","Navigate to a page and validate Current Url","SUCCESS","2022-12-29T16:06:00.039958857Z[Etc/UTC]","0.0","2.8"
"Jupiter Toys Navigation Links","Navigate to a page and validate Current Url","SUCCESS","2022-12-29T16:06:00.039958857Z[Etc/UTC]","0.0","2.8"
"Jupiter Toys Navigation Links","Navigate to a page and validate Current Url","SUCCESS","2022-12-29T16:06:00.039958857Z[Etc/UTC]","0.0","2.8"
"Jupiter Toys Navigation Links","Navigate to a page and validate Current Url","SUCCESS","2022-12-29T16:06:00.039958857Z[Etc/UTC]","0.0","2.8"
